0	1	671	49
1	2016	4716	32
2	12195	488	67
3	13859	353	65
4	15201	61	39
5	15572	23	22
6	15743	223	74
7	16744	526	101
8	18693	269	80
9	19873	370	114
10	21489	188	28
11	22199	11	11
12	22293	71	46
13	22742	154	52
14	23481	47	18
15	23709	23	21
16	23884	110	53
17	24489	158	24
18	25077	269	22
19	25951	20	18
20	26103	1	1
21	26114	136	98
22	26923	136	46
23	27574	40	19
24	27801	3	3
25	27829	86	50
26	28326	232	93
27	29513	268	8
28	30286	67	12
29	30560	99	41
30	31078	110	24
31	31547	155	76
32	32386	39	16
33	32599	23	8
34	32722	232	79
35	33771	31	22
36	33977	352	64
37	35333	76	30
38	35711	76	27
39	36079	30	20
40	36261	44	7
41	36430	5	3
42	36464	82	38
43	36907	1	1
44	36918	30	12
45	37078	155	74
46	37905	29	12
47	38069	18	12
48	38190	6	5
49	38239	9	6
50	38304	735	116
51	41009	14	11
52	41113	53	39
53	41464	89	27
54	41870	3	3
55	41899	124	50
56	42532	23	15
57	42682	64	37
58	43071	196	48
59	43873	205	133
60	45078	100	27
61	45477	7	6
62	45532	40	13
63	45739	235	63
64	46775	182	37
65	47470	95	32
66	47910	84	24
67	48289	9	7
68	48355	2	2
69	48374	726	95
70	50896	371	148
71	52647	75	35
72	53060	16	11
73	53163	97	40
74	53646	22	9
75	53764	247	91
76	54937	54	20
77	55205	495	130
78	57207	179	61
79	58030	84	22
80	58389	41	33
81	58675	17	16
82	58807	139	54
83	59462	3	3
84	59489	214	44
85	60395	66	45
86	60815	9	2
87	60863	107	56
88	61467	108	53
89	62046	4	4
90	62082	273	125
91	63452	33	21
92	63662	3	2
93	63687	48	31
94	63979	70	35
95	64373	29	21
96	64568	25	11
97	64706	1	1
98	64718	351	47
99	65958	126	49
100	66599	11	9
101	66679	6	5
102	66732	112	42
103	67314	82	20
104	67670	56	24
105	67970	620	162
106	70531	155	66
107	71310	37	24
108	71542	31	17
109	71737	68	31
110	72115	1	1
111	72128	112	53
112	72747	67	29
113	73136	54	35
114	73481	1	1
115	73494	54	35
116	73829	14	8
